,Tat90_SGat0.55,Tat180_SGat0.55,Tat270_SGat0.55,Tat360_SGat0.55,Tat450_SGat0.55,Tat540_SGat0.55,Tat90_SGat0.6,Tat180_SGat0.6,Tat270_SGat0.6,Tat360_SGat0.6,Tat450_SGat0.6,Tat540_SGat0.6,Tat90_SGat0.65,Tat180_SGat0.65,Tat270_SGat0.65,Tat360_SGat0.65,Tat450_SGat0.65,Tat540_SGat0.65,Tat90_SGat0.7,Tat180_SGat0.7,Tat270_SGat0.7,Tat360_SGat0.7,Tat450_SGat0.7,Tat540_SGat0.7,Tat90_SGat0.75,Tat180_SGat0.75,Tat270_SGat0.75,Tat360_SGat0.75,Tat450_SGat0.75,Tat540_SGat0.75,Tat90_SGat0.8,Tat180_SGat0.8,Tat270_SGat0.8,Tat360_SGat0.8,Tat450_SGat0.8,Tat540_SGat0.8,Tat90_SGat0.85,Tat180_SGat0.85,Tat270_SGat0.85,Tat360_SGat0.85,Tat450_SGat0.85,Tat540_SGat0.85,Tat90_SGat0.9,Tat180_SGat0.9,Tat270_SGat0.9,Tat360_SGat0.9,Tat450_SGat0.9,Tat540_SGat0.9
2377,1.002620123080364,0.664521623215236,0.5367259312100443,0.5103389226541865,0.6439738647936654,0.8111543414741299,1.0309862364360858,0.6833803838273547,0.5484024539691452,0.5075850145048534,0.601666592041555,0.7757178388253302,1.0590669547047145,0.7022606921321939,0.5607457220385641,0.5089461869146719,0.567315475867652,0.7382911780276483,1.0869200415847584,0.7211650466679387,0.5735986609240513,0.5130356991497774,0.5429070453086833,0.6998463782842982,1.1146013277428513,0.7401024802846436,0.5868571500834769,0.5190209115900409,0.5276294510028674,0.6617981368454026,1.1421649098433393,0.7590865832208431,0.6004518366006024,0.5263826409881471,0.5192820899494593,0.626000262422812,1.1696633596383408,0.7781342012696673,0.6143369821193427,0.534784979778393,0.5158131610972343,0.5945709784502904,1.197147938936785,0.7972645745846507,0.6284833678279993,0.5440037767080249,0.5157560225338895,0.5693042729422066
2476,1.0443027309571913,0.6918804692540776,0.5581627340336275,0.5278157872314002,0.6494408132265095,0.8116110616567154,1.0738564866771558,0.7115530889011019,0.5704445761127523,0.525937068749828,0.6101400043346068,0.776596136379258,1.1031121674471203,0.7312438878757654,0.5833938758530648,0.5279701986801502,0.5789133477358192,0.739991282590987,1.1321300732005106,0.750956317955777,0.5968551913474787,0.532637006469229,0.5570809881493017,0.7028549655745667,1.1609684638551117,0.7707004245667413,0.6107252776578342,0.5391554312189768,0.5436098737292231,0.6666420215157459,1.1896837729028518,0.7904908511631394,0.6249353567653684,0.5470307508047454,0.5364824153866927,0.6331604705861195,1.2183308298115851,0.8103455249946658,0.63944016894168,0.5559394345718981,0.5338816006575748,0.6043268103634408,1.2469630873645905,0.8302847883452875,0.6542109691678619,0.5656638888098892,0.5344984959789134,0.5815657738761527
2575,1.0859793422988635,0.7192154995124675,0.5795429015936391,0.545244249856995,0.655896047636567,0.812743732827951,1.116721227727495,0.7397039308640003,0.5924353082008094,0.5442132366298379,0.6194440403606616,0.7782708095649374,1.147152297114874,0.7602069094143369,0.6059950983279496,0.5469127887699741,0.5910489751589847,0.7425965867016718,1.1773353964882287,0.7807288863571933,0.6200685934368364,0.5521590442235609,0.5715049170265463,0.7068423192844941,1.2073312229224635,0.8012809557481382,0.6345535419625712,0.5592152638973672,0.5596574206898184,0.6724765755428292,1.2371985531408713,0.8218788428497179,0.6493818376465794,0.5676092464722586,0.553658823662851,0.6412330154742087,1.2669944795607393,0.8425415793497828,0.664508776690522,0.5770291373418566,0.5518863465053481,0.6148105590186361,1.296774650253135,0.8632906283505397,0.6799061490845952,0.5872636743392594,0.5531620062894134,0.594306295160019
2674,1.127649963193255,0.7465268819477098,0.6008677345696313,0.5626222333180796,0.6632017430082675,0.8145148346366589,1.1595804645540482,0.7678330459705811,0.6143756835044003,0.5624157357914862,0.629434326672687,0.7806853547980246,1.191187347803119,0.7891498685501099,0.6285502220999077,0.5657769753697941,0.6036114156311355,0.7460265523488815,1.222536014856294,0.8104828445664465,0.6432395473522863,0.5716046591222848,0.5861198222209243,0.7117022609606998,1.253689607806533,0.8318441514161885,0.6583425055645797,0.5792028681858972,0.5757488733952052,0.6791728803566914,1.2847092529794288,0.8532506237978676,0.6737917498020825,0.5881201986225906,0.5708049349211192,0.6500754064863015,1.3156543109501744,0.8747224201156965,0.6895432029612498,0.5980558250195299,0.5698276322093379,0.6258877230594304,1.3465826293770533,0.8962821424569849,0.7055692466066241,0.6088045962125145,0.5717490540860709,0.6074253760307445
2773,1.1693145997167531,0.7738147822410175,0.6221384762952248,0.5799484535702979,0.671238790197277,0.8168859138545959,1.202434202114915,0.7959405688441277,0.6362666954276261,0.5805467194138769,0.6399926793952595,0.7837841634137411,1.235217323599573,0.8180728758957625,0.6510600514577289,0.5845655643784038,0.6165145624583321,0.7502053104437281,1.2677319317075288,0.84021828439654,0.6663687126652762,0.5909765001921257,0.6008808982864168,0.7173386491300708,1.3000436213654587,0.8623900884957763,0.6820927157871468,0.5991205463978893,0.5918666468527967,0.6866180822273239,1.3322158748375714,0.8846062590202026,0.698165552307791,0.6085655592868807,0.5879160948019814,0.6595676299061457,1.3643103260438858,0.906888102683387,0.71454383656628,0.6190211449757164,0.5877060158505685,0.6374502620139972,1.3963870265067582,0.9292593782169452,0.731200593949785,0.6302880492253594,0.5902620299149919,0.6208453287790752
2872,1.2109732579341785,0.8010793638423628,0.6433563164338366,0.5972222059732432,0.6799046628924534,0.819818527455747,1.2452824453606386,0.8240266325053884,0.658109299745301,0.5986082658783484,0.6510224106522992,0.7875136304151223,1.2792422285872018,0.8469760408931404,0.6735253637475733,0.6032811707766202,0.6296910277783101,0.7550624193803019,1.3129231504412908,0.8699352967914997,0.6894567292665075,0.6102770387886138,0.6157536652721891,0.7236651151658529,1.346393266453357,0.892918843257686,0.7058047053126042,0.6189704590522308,0.6079972716808926,0.6947138085113068,1.3797184211318139,0.915945813030087,0.7225036931669215,0.6289471717711251,0.6049889225167618,0.6696088857641805,1.4129625269018142,0.9390386820584116,0.7395110578184623,0.6399266617313725,0.6055222801611096,0.6494111976201429,1.446187843412184,0.9622223828814915,0.7568005167176273,0.6517153646627626,0.6087032133759359,0.6345055094843771
2971,1.2526259438992284,0.8283207880147547,0.6645223943489845,0.6144432117759426,0.6891113584624604,0.8232749726907411,1.288125199232846,0.8520913684005504,0.6799044166776144,0.6166023734244231,0.6624443370028109,0.791822873676814,1.3232620668422177,0.8758594718312296,0.6959469106878262,0.6219262372615239,0.6430876207983844,0.7605331334320622,1.3581096744514007,0.899633971838504,0.7125042182223713,0.629508585984078,0.6307112698535557,0.7306044686262954,1.3927385459210815,0.9234304913266471,0.7294789927537559,0.6387546375975658,0.6241303350315792,0.7033745675332839,1.4272168942759695,0.9472693498475795,0.7468066096993946,0.6492667794670696,0.6220209884859836,0.6801146327283003,1.4616109155839179,0.9711742128646479,0.7644452388028977,0.6607738630174605,0.6232773611731957,0.6617002576222966,1.4959850818622722,0.9951712034031222,0.7823693340939066,0.6730878145048999,0.627074774929781,0.6483581366472783
3070,1.2942726636541477,0.8555392138771132,0.6856378021994143,0.6316115064077366,0.6987834820078085,0.8272188210239603,1.3309624686654224,0.880134906428637,0.7016529328163652,0.6345309581138645,0.6741934636080322,0.7966641457216425,1.3672768424348252,0.904723275864348,0.7183254196004767,0.6405030505709645,0.6566620007852764,0.7665583535688579,1.403291507127955,0.9293143987798087,0.7355117825826167,0.6486733077490322,0.645732575121615,0.7380879560521297,1.439079462616504,0.9539251076894266,0.753116083196524,0.6584749956572382,0.6402577271288333,0.7125262201566884,1.4747112966810925,0.9785769330046725,0.7710747289153475,0.6695260337409468,0.639010580674544,0.691013983185623,1.5102554941462139,1.0032947493482658,0.7893467436369952,0.6815641652605348,0.6409722968085501,0.674260413637176,1.5457787436240098,1.0281058864385393,0.8079073590277679,0.6944066152720306,0.6453787793416175,0.6623652246669113
3169,1.3359134232294312,0.8827347984460294,0.7067035877878155,0.6487273572579646,0.7088565065317219,0.8316152827210486,1.3737942585834024,0.9081573749681269,0.7233557029157753,0.6523958539735351,0.6862162738717109,0.8019930167853454,1.4112865594293966,0.9335675590293493,0.7406615945654496,0.6590137558325629,0.6703801883629539,0.7730843881344073,1.4484686518562166,0.9589766660242185,0.7584800081431464,0.6677732382689424,0.6608007866934394,0.7460544781915801,1.4854160193836377,0.9844027667027933,0.7767164687151111,0.6781333390041513,0.6563730958548956,0.7221045633937926,1.5222016307560986,1.0098686255510831,0.7953084678690909,0.6897265010121211,0.6559565327984354,0.7022474542754675,1.5588962646440565,1.035400345381649,0.8142159287200768,0.7022989185605907,0.6586081895907175,0.6870451538031148,1.5955688304616926,1.0610264783515737,0.8334148984119798,0.7156729315462027,0.6636171900746295,0.6764963189163572
3268,1.377548228644683,0.909907696676679,0.7277207571863776,0.6657912025593165,0.7192752218159673,0.8364314326475116,1.4166205739045394,0.9361589009031905,0.7450135515586985,0.6701988145556328,0.6984685372832413,0.8077683968866751,1.455291221884151,0.9623924262627326,0.7629561175044615,0.6774603692241837,0.6842147030473245,0.7800626111867932,1.4936411120168394,0.9886208611586798,0.7814094641665013,0.686810291672202,0.6759024496767536,0.754449821646761,1.5317482190632843,1.0148635421012284,0.800280628861648,0.6977313744400655,0.6724714457606086,0.7320540431210878,1.569687898906575,1.0411444900592204,0.8195082339990349,0.7098696691278592,0.6728580964266797,0.7137650568419387,1.6075332291308388,1.0674910544669487,0.8390531429727215,0.7229794112182628,0.6761861794887898,0.7000163434881637,1.6453553441398139,1.0939330252156039,0.8588922532544618,0.7368878792026775,0.6817918741842071,0.690726808885268
3367,1.4191770859081778,0.9370580615022637,0.7486902771591819,0.6828036055866091,0.7299923716946799,0.8416363273812265,1.4594414195376952,0.9641396096491828,0.7666272747111903,0.6879415153932205,0.7109135475956291,0.8139524509710703,1.4992908338511786,0.9911979814175123,0.7852096491983029,0.6958447891834144,0.6981431588834652,0.7874490755246862,1.5388088909860338,1.0182470709594316,0.8043007040633801,0.7057862724027022,0.6910267061659657,0.7632259326188071,1.5780760644927234,1.0453075070044509,0.8238090311319393,0.717270717725672,0.68854883912139,0.7423266007937773,1.617170103536536,1.0724045886298958,0.8436744254518342,0.7299569531166171,0.6897148446962783,0.7255246905980796,1.6561663896560614,1.0995669297400708,0.8638587280663121,0.7436068738606187,0.6937074240956369,0.713142549069012,1.6951382864201172,1.1268255728164869,0.8843397188436104,0.7580525283806092,0.6999046074179038,0.7050366605887064
3466,1.46080000101648,0.9641860438730196,0.7696130774052485,0.6997652200741769,0.740967470923283,0.8472010407694337,1.5022568003838992,0.9920996251776295,0.7881976411707189,0.7056255569988198,0.7235207113694138,0.8205104478908319,1.5432853993766922,1.0199843272796563,0.8074228302439357,0.714168806365551,0.712147196910682,0.7952041154078683,1.583971992135766,1.0478553814030271,0.8271542660374449,0.7247028844263178,0.7061647385073965,0.7723402449312555,1.62439955850588,1.0757347339253176,0.847302131408505,0.7367529006849183,0.70460217023831,0.7528806519896023,1.6646482470463835,1.103648982897406,0.8678074313921504,0.7499897003932962,0.7065265991075195,0.7374908077566933,1.7047957482695282,1.1316280239741867,0.8886330186436266,0.7641824832102619,0.711173084172093,0.7263977230028242,1.7449176590622204,1.1597041666549217,0.9097575849073545,0.7791679062179881,0.7179570793297151,0.719409455301505
3565,1.5024169799555849,0.9912917927937364,0.7904900526308439,0.7166767639686206,0.7521657875694909,0.8530986409047585,1.545066721335885,1.0200390700405355,0.8097253939206134,0.7232524681622368,0.7362644181758743,0.8274105725041434,1.5872749225010738,1.0487515655840853,0.8295962819549678,0.7324341125180126,0.7262116668916931,0.8032919591914747,1.6291304188331575,1.0774458776771911,0.8499706736961066,0.743561739431442,0.7213093468884796,0.7817550663739778,1.6707187039332643,1.1061452947769028,0.8707603743822168,0.7561793775885856,0.720628993095965,0.7636801902084263,1.7121223318340928,1.134877734034572,0.891907632299467,0.7699691954837796,0.723293373376599,0.7496333065209188,1.7534213070180589,1.1636743895835437,0.9133763425303494,0.7847073655330988,0.7285843131405502,0.7397601694684033,1.794693463826222,1.1925688519494428,0.9351461357665432,0.8002349993743817,0.735950898287106,0.7338316539601989
3664,1.5440280286997168,1.018375455360694,0.8113220644742839,0.7335389994092644,0.763557474076966,0.8593041270604002,1.5878711872783735,1.0479580653944767,0.8312112513960783,0.7408237093833013,0.7491231354981167,0.8346237210165774,1.631259407258594,1.0774997970306228,0.8517306072098925,0.7506423084128303,0.7403239949055509,0.8116803626605702,1.6742841744414143,1.1070186441915033,0.8727504366287744,0.762364364158209,0.7364546253190781,0.7914370232534286,1.7170335036022557,1.136539260879859,0.8941841939546677,0.7755515309059358,0.7366273883911616,0.7746940066257741,1.7595923602954993,1.166090902757974,0.9159754002514704,0.7898966643165855,0.7400153300355956,0.7619266180838848,1.8020430679457684,1.1957060786268954,0.9380890209385151,0.805182599800392,0.745942249507064,0.7532117276293342,1.8444657024684485,1.2254196736385838,0.960505650482838,0.8212547563610495,0.7538875962951247,0.7482920292521701
3763,1.5856331532123886,1.0454371767975117,0.8321099432917607,0.7503527174119728,0.775116829260396,0.8657943409590436,1.630670203088112,1.075856731023651,0.8526559086694891,0.7583406763270656,0.762078682144499,0.8421232927886746,1.6752388576774875,1.1062291212992637,0.8738263912512315,0.7687949109592279,0.7544736905977314,0.8203402681063684,1.7194332623187276,1.1365737645877296,0.8954940509565263,0.7811122069684293,0.7515957105643274,0.8013565609291036,1.7633439603364207,1.1669167029697205,0.9175740136206536,0.7948706765010717,0.7525958599707757,0.7858950150179276,1.8070583348239524,1.1972885493328425,0.9400110991957233,0.8097732781361088,0.756692746655479,0.7743489546062221,1.8506610330957154,1.2277231428110953,0.9627713686618791,0.8256092205926817,0.7632480114642246,0.7667371238199819,1.8942343767449148,1.2582566763837153,0.9858364030012181,0.8422280896966584,0.7717686335954225,0.7627812234096133
3862,1.6272323594456253,1.0724771004900573,0.8528544898179,0.7671187261270551,0.7868216738667289,0.8725478631301122,1.6734637736335065,1.1037351853630124,0.8740600385607127,0.7758047032302758,0.7751156432588362,0.8498849868669207,1.7192132777799234,1.1349396370656213,0.8958842024408581,0.7868933595963973,0.7686519602197874,0.8292454908492777,1.7645776858188573,1.1661113217501824,0.918201999851981,0.7998066437532843,0.7667285857789992,0.8114874970619788,1.8096500769562471,1.1972776912037628,0.9409302468337786,0.8141380683392646,0.7685332534793904,0.7972596705139103,1.8545202578090738,1.2284707335781608,0.9640150852098082,0.8296001570747081,0.7733259893981499,0.7868816900296466,1.899275204508818,1.259725633494703,0.9874236942638746,0.8459882207717445,0.7805026931285868,0.7803234551840288,1.9439994884098464,1.2910799045714445,1.0111386622875669,0.8631558779043671,0.7895954030150446,0.7772914010595423
3961,1.668825653340254,1.099495368020814,0.8735564767110695,0.783837841837283,0.7986528235185091,0.8795449021318819,1.716251903774663,1.1315935455203172,0.8954242926798966,0.7932170662057176,0.7882208976719964,0.8578866080617478,1.7631826715825591,1.163631442015467,0.9179045929713241,0.8049390220568875,0.7828514004418428,0.8383724330429722,1.8097174482917022,1.1956313978157667,0.940874754034307,0.8184489832598616,0.7818499255912233,0.8218066237742605,1.85595185627872,1.2276222951681632,0.9642532973548803,0.8333549027598046,0.7844386919520575,0.8087674709570545,1.9019781316395268,1.2596375148713082,0.9879877067506162,0.849378373420967,0.7899154922058009,0.7995088499299322,1.947885584223917,1.2917136016912254,1.0120463002582833,0.866320553943045,0.7977073619985642,0.7939597759603195,1.993761039216079,1.323889402316073,1.0364126924610186,0.8840389673647724,0.8073692340588929,0.7918159745680726
4060,1.7104130408266296,1.1264921192019464,0.8942166499948212,0.8005108820577507,0.8105936444497635,0.8867671820653833,1.7590345983646556,1.1594319272982436,0.9167493024049178,0.8105789864195463,0.8013832345221708,0.8661078851018975,1.8071470430957832,1.1923046328596891,0.9398880995394916,0.8229331995744082,0.7970657543209883,0.8476998236435337,1.8548525530821898,1.225134074183872,0.9635127722389278,0.8370404719065663,0.7969569729044873,0.8322933546967786,1.9022493011176553,1.2579505838846372,0.9875435595848197,0.8525223223640935,0.8003115244546565,0.8204005302398591,1.949431958699735,1.290788952152894,1.0119293048932931,0.8691089546155709,0.8064617403426094,0.8122166906002033,1.9964921742768635,1.3236870980726634,1.036639483282758,0.8866071367291032,0.8148630573342035,0.8076367642592617,2.043519030913242,1.356685213462163,1.061658752922696,0.9048781740371363,0.8250913967449364,0.806349385126373
4159,1.751994527823376,1.1534674921080195,0.9148357304013484,0.8171386602696077,0.8226296791955401,0.8941978320193686,1.8018118622475914,1.1872504452154677,0.9380356798013433,0.8278916331208727,0.8145930409854405,0.8745303019270525,1.8511063963240966,1.2209593053482415,0.9618352439829875,0.840877131601425,0.8112897154670394,0.857208482945798,1.8999830035308376,1.2546194315262038,0.9861165016642979,0.8555822981474858,0.8120474401900706,0.842929412836217,1.9485424142835885,1.2882626258173622,1.0108014188823844,0.871641419561307,0.816151284860486,0.832143213833082,1.996881741373106,1.321925103931713,1.0358402135600586,0.8887928860028496,0.8229652573405921,0.8249933510495996,2.0450949767038082,1.3556461729729758,1.0612035342669308,0.9068488508709411,0.8319707892259607,0.8213464522454124,2.0932734652517837,1.389467381586901,1.0868770984786238,0.9256742850605926,0.8427631051892217,0.8208869270497934
